CRAWL_TS,COUNTRY_VAL,PARTNER,PRODUCT_NAME_VAL,MONTHLY_INSTALMENT_AMT,INSTALMENT_MONTH
2025-10-02T17:14:49Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,34.69,36
2025-10-02T17:14:51Z,Australia,Partner A,iPhone Air 256GB,49.97,36
2025-10-02T17:14:51Z,Australia,Partner A,iPhone 15 Pro Max 256GB,72.87,24
2025-10-02T17:14:54Z,Australia,Partner A,iP 17 PM 1TB,124.95,24
2025-10-02T17:14:55Z,Australia,Partner A,iPhone 15 Pro 1TB,63.85,36
2025-10-02T17:14:57Z,Australia,Partner A,iPhone Air 256GB,49.97,36
2025-10-02T17:15:05Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-02T17:15:05Z,Australia,Partner A,iPhone 16e 512GB,43.02,36
2025-10-02T17:15:19Z,Australia,Partner A,iP15P 128,38.85,36
2025-10-02T17:15:19Z,Australia,Partner A,iPhone 16 128GB,34.69,36
2025-10-02T17:15:23Z,Australia,Partner A,iPhone Air 256GB,74.95,24
2025-10-02T17:15:23Z,Australia,Partner A,iP15P 128,58.29,24
2025-10-02T17:15:33Z,Australia,Partner A,iPad (A16) 256GB,29.13,36
2025-10-02T17:15:38Z,Australia,Partner A,iPhone 16e 256GB,99.91,12
2025-10-02T17:15:40Z,Australia,Partner A,iPhone Air 1TB,108.29,24
2025-10-02T17:15:47Z,Australia,Partner A,iP15P 128,38.85,36
2025-10-02T17:15:52Z,Australia,Partner A,iP15P 128,141.58,12
2025-10-02T17:15:57Z,Australia,Partner A,iPhone 16 256GB,40.25,36
2025-10-02T17:16:14Z,Australia,Partner A,iPhone Air 1TB,72.19,36
2025-10-02T17:16:22Z,Australia,Partner A,iPhone 17 Pro 1TB,77.75,36
2025-10-02T17:16:24Z,Australia,Partner A,iP 17 PM 512GB,216.58,12
2025-10-02T17:16:29Z,Australia,Partner A,iPhone Air 1TB,72.19,36
2025-10-02T17:16:43Z,Australia,Partner A,iPhone 15 Pro Max 512GB,199.91,12
2025-10-02T17:16:50Z,Australia,Partner A,iPhone 16 128GB,104.08,12
2025-10-02T17:16:51Z,Australia,Partner A,iPhone 16e 128GB,41.62,24
2025-10-02T17:16:54Z,Australia,Partner A,iPad (A16) 128GB,70.75,12
2025-10-02T17:17:02Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,34.69,36
2025-10-02T17:17:25Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,120.75,12
2025-10-02T17:17:28Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,74.95,24
2025-10-02T17:17:28Z,Australia,Partner A,iPhone 16 512GB,49.97,36
2025-10-02T17:17:30Z,Australia,Partner A,AirPods Pro 3,11.91,36
2025-10-02T17:17:30Z,Australia,Partner A,AirPods Pro 3,35.75,12
2025-10-02T17:17:31Z,Australia,Partner A,iPhone 16 128GB,104.08,12
2025-10-02T17:17:33Z,Australia,Partner A,iPhone Air 256GB,149.91,12
2025-10-02T17:17:38Z,Australia,Partner A,iP 17 PM 256GB,183.25,12
2025-10-02T17:17:41Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,66.62,24
2025-10-02T17:17:54Z,Australia,Partner A,iPhone 16 256GB,60.37,24
2025-10-02T17:17:58Z,Australia,Partner A,iPhone 15 Pro 1TB,63.85,36
2025-10-02T17:18:00Z,Australia,Partner A,iP 17 PM 256GB,91.62,24
2025-10-02T17:18:00Z,Australia,Partner A,iPad (A16) 256GB,29.13,36
2025-10-02T17:18:03Z,Australia,Partner A,iPhone 16 512GB,74.95,24
2025-10-02T17:18:20Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,52.04,24
2025-10-02T17:18:27Z,Australia,Partner A,iPhone 15 Pro 512GB,81.2,24
2025-10-02T17:18:31Z,Australia,Partner A,iP 17 PM 1TB,124.95,24
2025-10-02T17:18:33Z,Australia,Partner A,iPhone Air 256GB,149.91,12
2025-10-02T17:18:40Z,Australia,Partner A,AirPods Pro 2,33.25,12
2025-10-02T17:18:40Z,Australia,Partner A,AirPods Pro 2,16.62,24
2025-10-02T17:18:43Z,Australia,Partner A,AirPods 4,,12
2025-10-02T17:18:43Z,Australia,Partner A,AirPods 4,9.12,24
2025-10-02T17:18:43Z,Australia,Partner A,iPhone 15 Pro 512GB,187.41,12
2025-10-02T17:18:43Z,Australia,Partner A,AirPods 4,,36
2025-10-02T17:18:50Z,Australia,Partner A,iPhone 15 Pro Max 1TB,229.08,12
2025-10-02T17:18:57Z,Australia,Partner A,iPhone 15 Pro Max 1TB,68.02,36
2025-10-02T17:19:08Z,Australia,Partner A,iPhone 16e 128GB,83.25,12
2025-10-02T17:19:09Z,Australia,Partner A,iPad (A16) 128GB,23.58,36
2025-10-02T17:19:13Z,Australia,Partner A,iPhone Air 1TB,216.58,12
2025-10-02T17:19:19Z,Australia,Partner A,iPad (A16) 128GB,35.37,24
2025-10-02T17:19:20Z,Australia,Partner A,iPhone 16e 256GB,33.3,36
2025-10-02T17:19:25Z,Australia,Partner A,iPhone Air 256GB,149.91,12
2025-10-02T17:19:30Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,29.13,36
2025-10-02T17:19:31Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,133.25,12
2025-10-02T17:19:35Z,Australia,Partner A,iPhone 15 Pro Max 512GB,199.91,12
2025-10-02T17:19:37Z,Australia,Partner A,iPhone 16 256GB,40.25,36
2025-10-02T17:19:39Z,Australia,Partner A,iPhone 15 Pro 256GB,158.25,12
2025-10-02T17:19:46Z,Australia,Partner A,iPhone 16 512GB,149.91,12
2025-10-02T17:20:09Z,Australia,Partner A,iP 17 PM 256GB,91.62,24
2025-10-02T17:20:19Z,Australia,Partner A,iPhone 15 Pro Max 1TB,102.04,24
2025-10-02T17:20:24Z,Australia,Partner A,iP 17 PM 512GB,108.29,24
2025-10-02T17:20:34Z,Australia,Partner A,iP15P 128,141.58,12
2025-10-02T17:20:35Z,Australia,Partner A,iPhone Air 1TB,216.58,12
2025-10-02T17:20:40Z,Australia,Partner A,iPhone 15 Pro Max 512GB,199.91,12
2025-10-02T17:20:42Z,Australia,Partner A,iPhone Air 512GB,61.08,36
2025-10-02T17:20:43Z,Australia,Partner A,iPhone 16 512GB,74.95,24
2025-10-02T17:20:57Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,49.97,36
2025-10-02T17:21:14Z,Australia,Partner A,iPhone Air 512GB,91.62,24
2025-10-02T17:21:23Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,104.08,12
2025-10-02T17:21:36Z,Australia,Partner A,iP 17 PM 1TB,83.3,36
2025-10-02T17:21:39Z,Australia,Partner A,iP 17 PM 2TB,105.52,36
2025-10-02T17:21:44Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,120.75,12
2025-10-02T17:21:45Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-02T17:21:55Z,Australia,Partner A,iPhone 16 256GB,120.75,12
2025-10-02T17:21:55Z,Australia,Partner A,iPhone 15 Pro 1TB,95.79,24
2025-10-02T17:22:01Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,40.25,36
2025-10-02T17:22:07Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,52.04,24
2025-10-02T17:22:14Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,44.41,36
2025-10-02T17:22:27Z,Australia,Partner A,iPhone 16 256GB,60.37,24
2025-10-02T17:22:41Z,Australia,Partner A,iPhone 16 256GB,120.75,12
2025-10-02T17:22:43Z,Australia,Partner A,AirPods 4 with Active Noise Cancellation,24.91,12
2025-10-02T17:22:45Z,Australia,Partner A,iPhone 15 Pro Max 1TB,102.04,24
2025-10-02T17:22:48Z,Australia,Partner A,iP 17 PM 512GB,216.58,12
2025-10-02T17:22:56Z,Australia,Partner A,iPhone 16e 512GB,64.54,24
2025-10-02T17:22:59Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,29.13,36
2025-10-02T17:23:09Z,Australia,Partner A,iPhone Air 1TB,72.19,36
2025-10-02T17:23:15Z,Australia,Partner A,iPhone 15 Pro 1TB,216.58,12
2025-10-02T17:23:23Z,Australia,Partner A,iPhone 15 Pro Max 256GB,170.75,12
2025-10-02T17:23:31Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,44.41,36
2025-10-02T17:23:42Z,Australia,Partner A,AirPods (3rd gen) with Lightning Charging Case,23.25,12
2025-10-02T17:23:42Z,Australia,Partner A,AirPods (3rd gen) with Lightning Charging Case,7.75,36
2025-10-02T17:23:42Z,Australia,Partner A,AirPods (3rd gen) with Lightning Charging Case,11.62,24
2025-10-02T17:24:03Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,60.37,24
2025-10-02T17:24:04Z,Australia,Partner A,iP 17 PM 512GB,108.29,24
2025-10-02T17:24:11Z,Australia,Partner A,iPhone 15 Pro 512GB,187.41,12
2025-10-02T17:24:11Z,Australia,Partner A,iPhone 17 Pro 1TB,233.25,12
2025-10-02T17:24:15Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,52.04,24
2025-10-02T17:24:24Z,Australia,Partner A,iPhone 15 Pro 1TB,95.79,24
2025-10-02T17:24:29Z,Australia,Partner A,iPhone 16 512GB,74.95,24
2025-10-02T17:24:34Z,Australia,Partner A,iPhone 16e 128GB,83.25,12
2025-10-02T17:24:42Z,Australia,Partner A,iPhone Air 256GB,49.97,36
2025-10-02T17:24:42Z,Australia,Partner A,iPhone Air 256GB,49.97,36
2025-10-02T17:24:43Z,Australia,Partner A,iP 17 PM 2TB,158.29,24
2025-10-02T17:24:50Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,44.41,36
2025-10-02T17:24:55Z,Australia,Partner A,iPhone 16 512GB,49.97,36
2025-10-02T17:24:59Z,Australia,Partner A,iPhone 16 128GB,52.04,24
2025-10-02T17:25:06Z,Australia,Partner A,iP 17 PM 512GB,72.19,36
2025-10-02T17:25:10Z,Australia,Partner A,iPad (A16) 128GB,70.75,12
2025-10-02T17:25:20Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,66.62,24
2025-10-02T17:25:22Z,Australia,Partner A,iPhone Air 1TB,216.58,12
2025-10-02T17:25:31Z,Australia,Partner A,iPad (A16) 128GB,70.75,12
2025-10-02T17:25:37Z,Australia,Partner A,iPhone 15 Pro 256GB,66.62,24
2025-10-02T17:25:45Z,Australia,Partner A,iPad (A16) 256GB,43.7,24
2025-10-02T17:25:53Z,Australia,Partner A,iPhone 17 Pro 512GB,66.63,36
2025-10-02T17:26:00Z,Australia,Partner A,iPad (A16) 128GB,23.58,36
2025-10-02T17:26:05Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-02T17:26:19Z,Australia,Partner A,iP 17 PM 1TB,83.3,36
2025-10-02T17:26:33Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,133.25,12
2025-10-02T17:26:58Z,Australia,Partner A,iP15P 128,38.85,36
2025-10-02T17:27:11Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,149.91,12
2025-10-02T17:27:20Z,Australia,Partner A,iP 17 PM 256GB,91.62,24
2025-10-02T17:27:26Z,Australia,Partner A,iPhone 16e 128GB,41.62,24
2025-10-02T17:27:29Z,Australia,Partner A,iPhone 17 Pro 1TB,77.75,36
2025-10-02T17:27:43Z,Australia,Partner A,iPhone 16e 512GB,129.08,12
2025-10-02T17:27:44Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,149.91,12
2025-10-02T17:28:14Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-03T17:10:44Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-03T17:11:45Z,Australia,Partner A,iPhone 15 Pro Max 256GB,72.87,24
2025-10-03T17:11:50Z,Australia,Partner A,iPhone Air 1TB,72.19,36
2025-10-03T17:11:52Z,Australia,Partner A,iP 17 PM 1TB,124.95,24
2025-10-03T17:12:07Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,43.7,24
2025-10-03T17:12:22Z,Australia,Partner A,iPhone 16e 128GB,41.62,24
2025-10-03T17:12:25Z,Australia,Partner A,iPhone Air 512GB,183.25,12
2025-10-03T17:12:32Z,Australia,Partner A,iP15P 128,58.29,24
2025-10-03T17:12:35Z,Australia,Partner A,iPhone 17 256GB,116.58,12
2025-10-03T17:12:49Z,Australia,Partner A,iPhone 16 512GB,149.91,12
2025-10-03T17:12:51Z,Australia,Partner A,iP 17 PM 1TB,83.3,36
2025-10-03T17:12:57Z,Australia,Partner A,iPad Pro 11-inch (M4) 512GB,99.95,24
2025-10-03T17:12:59Z,Australia,Partner A,iPad Pro 13-inch (M4) 512GB,120.79,24
2025-10-03T17:13:03Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,29.13,36
2025-10-03T17:13:04Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,149.91,12
2025-10-03T17:13:09Z,Australia,Partner A,iP 17 PM 2TB,105.52,36
2025-10-03T17:13:14Z,Australia,Partner A,iPhone 15 Pro 1TB,63.85,36
2025-10-03T17:13:18Z,Australia,Partner A,iPad (A16) 256GB,87.41,12
2025-10-03T17:13:21Z,Australia,Partner A,iP15P 128,38.85,36
2025-10-03T17:13:37Z,Australia,Partner A,iPad Pro 11-inch (M4) 256GB,170.75,12
2025-10-03T17:13:40Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,104.08,12
2025-10-03T17:13:42Z,Australia,Partner A,iPhone Air 1TB,72.19,36
2025-10-03T17:13:42Z,Australia,Partner A,iPhone 16 512GB,49.97,36
2025-10-03T17:13:48Z,Australia,Partner A,iPad (A16) 128GB,35.37,24
2025-10-03T17:13:49Z,Australia,Partner A,iPhone 15 Pro Max 256GB,170.75,12
2025-10-03T17:13:55Z,Australia,Partner A,iPhone 17 256GB,58.29,24
2025-10-03T17:13:58Z,Australia,Partner A,iPhone 16e 512GB,64.54,24
2025-10-03T17:13:59Z,Australia,Partner A,iPhone 15 Pro Max 256GB,48.57,36
2025-10-03T17:14:03Z,Australia,Partner A,iPhone 15 Pro 1TB,95.79,24
2025-10-03T17:14:10Z,Australia,Partner A,iPhone 15 Pro Max 1TB,68.02,36
2025-10-03T17:14:12Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,74.95,24
2025-10-03T17:14:17Z,Australia,Partner A,iPhone 16 256GB,120.75,12
2025-10-03T17:14:20Z,Australia,Partner A,iPhone 16 128GB,52.04,24
2025-10-03T17:14:22Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,52.04,24
2025-10-03T17:14:28Z,Australia,Partner A,iPhone 17 512GB,74.95,24
2025-10-03T17:14:28Z,Australia,Partner A,AirPods Pro 2,11.08,36
2025-10-03T17:14:35Z,Australia,Partner A,iP 17 PM 1TB,249.91,12
2025-10-03T17:14:36Z,Australia,Partner A,iPad (A16) 256GB,87.41,12
2025-10-03T17:14:37Z,Australia,Partner A,iP 17 PM 1TB,249.91,12
2025-10-03T17:14:51Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,40.25,36
2025-10-03T17:14:56Z,Australia,Partner A,iPhone 15 Pro 512GB,187.41,12
2025-10-03T17:14:58Z,Australia,Partner A,AirPods 4 with Active Noise Cancellation,8.3,36
2025-10-03T17:14:58Z,Australia,Partner A,AirPods 4 with Active Noise Cancellation,24.91,12
2025-10-03T17:14:58Z,Australia,Partner A,AirPods 4 with Active Noise Cancellation,12.45,24
2025-10-03T17:15:05Z,Australia,Partner A,iPhone 15 Pro Max 1TB,102.04,24
2025-10-03T17:15:13Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,149.91,12
2025-10-03T17:15:13Z,Australia,Partner A,iPhone 15 Pro 256GB,66.62,24
2025-10-03T17:15:19Z,Australia,Partner A,iPhone 15 Pro 256GB,66.62,24
2025-10-03T17:15:31Z,Australia,Partner A,iPhone 16e 128GB,83.25,12
2025-10-03T17:15:35Z,Australia,Partner A,iPhone Air 256GB,74.95,24
2025-10-03T17:15:39Z,Australia,Partner A,iPhone Air 1TB,72.19,36
2025-10-03T17:15:44Z,Australia,Partner A,iPhone 16 512GB,74.95,24
2025-10-03T17:15:45Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,44.41,36
2025-10-03T17:15:48Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,60.37,24
2025-10-03T17:15:50Z,Australia,Partner A,iPhone 17 256GB,58.29,24
2025-10-03T17:15:54Z,Australia,Partner A,iPhone 15 Pro Max 512GB,87.45,24
2025-10-03T17:15:55Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,133.25,12
2025-10-03T17:15:57Z,Australia,Partner A,iPhone Air 256GB,149.91,12
2025-10-03T17:15:59Z,Australia,Partner A,iPhone 17 256GB,116.58,12
2025-10-03T17:16:10Z,Australia,Partner A,iPhone 15 Pro 512GB,187.41,12
2025-10-03T17:16:15Z,Australia,Partner A,iP 17 PM 512GB,108.29,24
2025-10-03T17:16:16Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,60.37,24
2025-10-03T17:16:19Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,120.75,12
2025-10-03T17:16:20Z,Australia,Partner A,iPhone 15 Pro Max 256GB,170.75,12
2025-10-03T17:16:22Z,Australia,Partner A,iPhone 16 512GB,49.97,36
2025-10-03T17:16:24Z,Australia,Partner A,iPhone 16 512GB,149.91,12
2025-10-03T17:16:26Z,Australia,Partner A,iPhone 16 256GB,40.25,36
2025-10-03T17:16:33Z,Australia,Partner A,iPad (A16) 128GB,35.37,24
2025-10-03T17:16:34Z,Australia,Partner A,iPhone 17 256GB,116.58,12
2025-10-03T17:16:38Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,66.62,24
2025-10-03T17:16:39Z,Australia,Partner A,iPhone 17 256GB,116.58,12
2025-10-03T17:16:52Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,104.08,12
2025-10-03T17:16:53Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,52.04,24
2025-10-03T17:16:58Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,60.37,24
2025-10-03T17:17:02Z,Australia,Partner A,iPhone 15 Pro 256GB,66.62,24
2025-10-03T17:17:05Z,Australia,Partner A,iPhone Air 256GB,49.97,36
2025-10-03T17:17:11Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,29.13,36
2025-10-03T17:17:11Z,Australia,Partner A,iPhone Air 512GB,183.25,12
2025-10-03T17:17:13Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,66.62,24
2025-10-03T17:17:18Z,Australia,Partner A,iPad Pro 13-inch (M4) 256GB,70.8,36
2025-10-03T17:17:19Z,Australia,Partner A,iP15P 128,38.85,36
2025-10-03T17:17:25Z,Australia,Partner A,iPhone 15 Pro 512GB,81.2,24
2025-10-03T17:17:28Z,Australia,Partner A,iPhone 15 Pro Max 512GB,199.91,12
2025-10-03T17:17:30Z,Australia,Partner A,iPad (A16) 256GB,43.7,24
2025-10-03T17:17:31Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,133.25,12
2025-10-03T17:17:33Z,Australia,Partner A,iPhone 16e 256GB,99.91,12
2025-10-03T17:17:38Z,Australia,Partner A,iPhone 15 Pro Max 1TB,229.08,12
2025-10-03T17:17:40Z,Australia,Partner A,iP 17 PM 2TB,105.52,36
2025-10-03T17:17:45Z,Australia,Partner A,iPad (A16) 128GB,35.37,24
2025-10-03T17:17:50Z,Australia,Partner A,iP 17 PM 512GB,216.58,12
2025-10-03T17:17:56Z,Australia,Partner A,iPhone 17 512GB,49.97,36
2025-10-03T17:18:01Z,Australia,Partner A,iPhone 16 256GB,60.37,24
2025-10-03T17:18:02Z,Australia,Partner A,iPhone 15 Pro Max 1TB,102.04,24
2025-10-03T17:18:07Z,Australia,Partner A,iPhone 17 512GB,49.97,36
2025-10-03T17:18:09Z,Australia,Partner A,iPad Pro 13-inch (M4) 512GB,241.58,12
2025-10-03T17:18:13Z,Australia,Partner A,iP15P 128,58.29,24
2025-10-03T17:18:14Z,Australia,Partner A,iPhone 15 Pro 512GB,54.13,36
2025-10-03T17:18:19Z,Australia,Partner A,iPhone Air 1TB,108.29,24
2025-10-03T17:18:25Z,Australia,Partner A,AirPods (3rd gen) with Lightning Charging Case,23.25,12
2025-10-03T17:18:25Z,Australia,Partner A,AirPods (3rd gen) with Lightning Charging Case,7.75,36
2025-10-03T17:18:29Z,Australia,Partner A,iPhone Air 512GB,91.62,24
2025-10-03T17:18:29Z,Australia,Partner A,iPad Pro 13-inch (M4) 512GB,120.79,24
2025-10-03T17:18:29Z,Australia,Partner A,iPhone 16 128GB,34.69,36
2025-10-03T17:18:31Z,Australia,Partner A,iPhone Air 1TB,216.58,12
2025-10-03T17:18:34Z,Australia,Partner A,iPad (A16) 128GB,70.75,12
2025-10-03T17:18:37Z,Australia,Partner A,iPhone 16e 512GB,43.02,36
2025-10-03T17:18:37Z,Australia,Partner A,iPhone 16 256GB,60.37,24
2025-10-03T17:18:47Z,Australia,Partner A,iP 17 PM 1TB,83.3,36
2025-10-03T17:18:49Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,87.41,12
2025-10-03T17:18:52Z,Australia,Partner A,iPad Pro 13-inch (M4) 512GB,241.58,12
2025-10-03T17:18:57Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,49.97,36
2025-10-03T17:19:28Z,Australia,Partner A,iPhone Air 512GB,61.08,36
2025-10-03T17:19:28Z,Australia,Partner A,iP 17 PM 1TB,124.95,24
2025-10-03T17:19:28Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-03T17:19:30Z,Australia,Partner A,iPhone 17 512GB,49.97,36
2025-10-03T17:19:41Z,Australia,Partner A,iPhone 15 Pro 256GB,158.25,12
2025-10-03T17:19:43Z,Australia,Partner A,iPhone 16 256GB,120.75,12
2025-10-03T17:19:44Z,Australia,Partner A,iPhone 16 512GB,149.91,12
2025-10-03T17:19:45Z,Australia,Partner A,iPad (A16) 256GB,29.13,36
2025-10-03T17:19:50Z,Australia,Partner A,iPhone 16 512GB,49.97,36
2025-10-03T17:19:54Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,43.7,24
2025-10-03T17:19:58Z,Australia,Partner A,iPhone 15 Pro Max 256GB,170.75,12
2025-10-03T17:19:59Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,74.95,24
2025-10-03T17:20:02Z,Australia,Partner A,iPhone 17 512GB,74.95,24
2025-10-03T17:20:03Z,Australia,Partner A,iPhone 15 Pro 256GB,44.41,36
2025-10-03T17:20:05Z,Australia,Partner A,iP 17 PM 2TB,158.29,24
2025-10-03T17:20:07Z,Australia,Partner A,iPad Pro 11-inch (M4) 256GB,56.91,36
2025-10-03T17:20:09Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,34.69,36
2025-10-03T17:20:10Z,Australia,Partner A,iP15P 128,58.29,24
2025-10-03T17:20:11Z,Australia,Partner A,iPhone 16 128GB,34.69,36
2025-10-03T17:20:12Z,Australia,Partner A,iPhone 16e 256GB,33.3,36
2025-10-03T17:20:18Z,Australia,Partner A,iPhone 17 256GB,38.86,36
2025-10-03T17:20:18Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,87.41,12
2025-10-03T17:20:19Z,Australia,Partner A,iPhone 15 Pro Max 1TB,102.04,24
2025-10-03T17:20:22Z,Australia,Partner A,iPhone 17 512GB,149.91,12
2025-10-03T17:20:23Z,Australia,Partner A,iPad (A16) 128GB,23.58,36
2025-10-03T17:20:24Z,Australia,Partner A,iPhone 15 Pro Max 512GB,87.45,24
2025-10-03T17:20:25Z,Australia,Partner A,iPhone 16 128GB,104.08,12
2025-10-03T17:20:30Z,Australia,Partner A,iPhone Air 1TB,108.29,24
2025-10-03T17:20:32Z,Australia,Partner A,iPhone 17 512GB,149.91,12
2025-10-03T17:20:38Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,149.91,12
2025-10-03T17:20:40Z,Australia,Partner A,iPhone 17 512GB,49.97,36
2025-10-03T17:20:42Z,Australia,Partner A,iPad Air 13-inch (M3) 128GB,133.25,12
2025-10-03T17:20:43Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,43.7,24
2025-10-03T17:20:48Z,Australia,Partner A,iP 17 PM 256GB,91.62,24
